"","ARG1","CCL17","CCL22","CCL5","CD274","CD80","CD8A","CXCL10","FOXP3","MRC1","PDCD1"
"GLI1",0.0890841291593274,0.00840936645718531,0.39578116146505,2.62568621022666e-07,0.00176561865041842,7.24222997873741e-07,0.000253832338496318,4.70992758918192e-12,3.50181062254267e-05,0.172264745294077,0.0141567367017879
"GLI2",0.932237507151573,0.177538000794593,0.971741327062027,2.53981290801282e-05,0.00257515706563097,7.72021462777118e-06,0.00134515292563678,4.5915156838559e-10,0.00294951590877465,0.971741327062027,0.112369113874938
"HHIP",0.780326837600043,0.00840936645718531,0.00163732307377923,0.116619299598532,0.870552743936713,0.155816970013153,0.0475889425787349,0.112369113874938,0.00840936645718531,0.00125031906456652,0.0878973722580998
"IHH",0.87394187507911,0.0110137274513862,0.00658226136740948,3.02230347498713e-07,0.00326121033254243,5.71692360349356e-06,1.26857789814611e-05,6.44167568271339e-05,0.000428864695436893,0.0127660732404696,0.0038259475197323
"PTCH1",0.182892118517623,0.00102621862713168,0.0241298772455974,7.5237677903398e-11,0.0290083121486287,1.98186266424536e-06,1.96811384683505e-08,1.52460990503798e-10,5.71692360349356e-06,0.00962597845077283,7.32453830740188e-05
"PTCH2",0.0156374710774793,0.00224342070462954,0.00840936645718531,9.59416464394471e-10,0.294710028759246,2.54382313358025e-05,9.43069140662062e-07,5.90359280305012e-06,3.24575791619336e-05,0.39578116146505,0.0128997974793862
"SHH",0.640484934032815,0.183359215155199,0.0890841291593274,0.000294737045630681,0.000296279230838409,0.000165222192342236,0.000709911187682895,0.000120818481325492,0.0191758106194377,0.344598634118061,0.762884846064122
