"SAMPLE_ID","hh_activation_score","hh_ligand_score","ARG1_log","MRC1_log","CD80_log","FOXP3_log","CD8A_log","CD274_log","PDCD1_log","CCL22_log","CCL17_log","CCL5_log","CXCL10_log","arg1_cxcl10_ratio_old","mrc1_cd8a_ratio_old","arg1_cxcl10_ratio_corrected","mrc1_cd8a_ratio_corrected"
"TCGA-04-1348-01",-1.0184436728516,-0.4881666022837,1,7.25935975749982,4.89179475054874,6.95493475121687,8.993198731651,4.94178011657108,6.52252078976565,3.86423817319303,3.11101364110509,10.4563351952638,11.3959572474893,-2.63179777921087,-0.274916593159709,-10.3959572474893,-1.73383897415118
"TCGA-04-1357-01",-0.322477321476796,-0.4881666022837,1,6.75303747510692,4.9265461882627,7.02972001824757,10.5648625724449,6.20294537842966,8.28968085361325,6.472420061941,3.57794565394189,12.2639306502486,11.826806118447,-2.68109007819867,-0.576914578778139,-10.826806118447,-3.81182509733798
"TCGA-04-1362-01",-0.23971912039963,0.869059836540973,1.28425619236398,5.32461693519201,3.30350744615516,6.12928054726362,5.40930849786404,2.36416426465199,3.04103060345596,2.78403137815032,1.47347503880374,7.86923760554283,10.4303463599348,-2.32307274908691,-0.0191906101105803,-9.14609016757084,-0.0846915626720251
"TCGA-04-1364-01",-0.14574507775259,0.923062006802793,1,4.40376299129719,1.78497838354828,3.81038183514597,2.89543965458013,1.59908381746834,1,1,1,4.45512339169705,5.25456787755124,-1.64491021333607,0.472178233847474,-4.25456787755124,1.50832333671706
"TCGA-04-1365-01",-0.63988992657393,-0.286246290289759,1,6.0466509085819,4.76898401018588,6.28342028412449,8.25712388839952,3.99033295002566,6.59323510279368,4.89337984426236,3.77124769109739,10.5506654581903,12.6007734114136,-2.76561678791337,-0.393626285059598,-11.6007734114136,-2.21047297981762
"TCGA-04-1514-01",1.32563305164081,0.89491316259221,1,4.91868717496558,1.60553343585075,4.83562552965278,6.02946162611303,4.67618195695045,2.8587686273474,1,1,4.46363941850722,6.42821409385573,-1.89301539681517,-0.24813699319682,-5.42821409385573,-1.11077445114745
"TCGA-04-1519-01",0.953631554417002,-0.280574849836181,1,4.83436177524728,1.33942326142712,3.79433702232645,4.21387458694642,1.83335023080561,1.23732274658508,1,1,6.15187147582022,7.25409687035121,-2.04511036996055,0.162218966069075,-6.25409687035121,0.620487188300862
"TCGA-09-0364-01",1.71545311335061,2.53867126167877,1.57986100797493,5.43818072525756,1.35424262915976,3.5317204130073,3.87871179671562,1,1,1.7349086077465,1,2.1666884813021,2.95376936298385,-0.615935374718353,0.400152814544056,-1.37390835500893,1.55946892854194
"TCGA-09-0366-01",-0.262229729995514,-0.317822023672168,1,8.56443615062089,3.47699998106618,4.88239087326469,6.69106214107167,4.16795055130477,6.64366869857731,2.80414364677563,3.40081238796385,8.33381558678771,11.7230270134245,-2.66937004677679,0.314497071161723,-10.7230270134245,1.87337400954922
"TCGA-09-0367-01",-0.965374158829481,-0.4881666022837,1,5.74901314453395,2.8936884839365,3.5012476069687,5.84637729518742,1.3874555924131,3.27957356283308,3.45459144934721,4.0871864027654,9.30649372470712,11.2626360176278,-2.6161972338492,-0.0206642360761129,-10.2626360176278,-0.0973641506534661
"TCGA-09-0369-01",0.745606163477556,-0.4881666022837,1,7.76560256604639,2.16046493632175,3.55745896674918,4.3852964476062,1,1,1.42135360361243,1,5.50436061098059,7.02371174572621,-2.00426977762492,0.702827504455283,-6.02371174572621,3.38030611844019
"TCGA-09-1659-01",-0.363130409838638,-0.4881666022837,1,6.94014693853285,3.438772539788,4.5147382836003,6.56329193001652,2.99513733300591,5.41315269079323,1.88111807220289,1,9.04412201228489,11.3674917755873,-2.62848103498844,0.070151400266611,-10.3674917755873,0.376855008516329
"TCGA-09-1662-01",0.383409673387624,-0.4881666022837,1,7.23069111209524,2.91583155896521,4.70658518732389,6.60169058942125,4.38164775771369,2.33976902351622,4.62696777492207,2.67774330478424,9.36637032008284,8.54001738992277,-2.25399189603503,0.114693270923976,-7.54001738992277,0.62900052267399
"TCGA-09-1666-01",-0.459213547987474,-0.4881666022837,1,7.34567544996104,4.09328985116563,5.549359567015,7.65309908992068,5.94938748349174,4.83751778753141,2.95255411817138,1.15714696459347,9.33192772500785,11.9743446191806,-2.69758975959473,-0.0521881060292193,-10.9743446191806,-0.307423639959634
"TCGA-09-1667-01",-0.806313263109781,-0.4881666022837,1,7.99886632012155,4.88213508679141,6.32414362822656,8.05019036292048,6.17026902856966,5.90993928307084,4.66086971257942,1.89370650892843,10.0489926042007,12.8149729608538,-2.78816083334756,-0.00820487662053157,-11.8149729608538,-0.0513240427989237
"TCGA-09-1668-01",0.0279995254338811,-0.4881666022837,1,7.50715908488893,6.22871828765963,7.27926130083194,7.93776411193262,6.03048053671132,5.44051700610157,5.70137187629664,6.64355551291455,10.0684527270629,11.8080486991013,-2.67897879331782,-0.0712365362884242,-10.8080486991013,-0.430605027043695
"TCGA-09-1669-01",0.610495983677938,0.831740174179582,1,7.8642239451472,4.71996445925732,5.93825948101369,7.9717179453121,4.32506530455074,5.84583350090858,4.97753002969521,3.00905564076948,9.55678429949349,11.2887480034471,-2.61926603409454,-0.0173899354015843,-10.2887480034471,-0.10749400016489
"TCGA-09-1670-01",-0.277437340241746,-0.485178103333222,1,6.63205690633742,4.65575348878661,4.83954962804509,6.2642054990201,4.85635772097976,3.61207543376886,3.31781289032812,1.05255653702713,8.04291754988641,9.60898939602507,-2.40721532769194,0.0712669124574878,-8.60898939602507,0.367851407317318
"TCGA-09-1673-01",1.61068913710346,-0.4881666022837,3.77533137186539,6.98933795542943,3.54971299305023,1.91939648044484,5.34350449477483,3.62983768190671,1.71185143010396,1,1,7.24146987924862,9.56000040676656,-1.14493713641374,0.332795874393448,-5.78466903490117,1.6458334606546
"TCGA-09-1674-01",0.0914596517211252,0.320394344560459,1,5.53440371920887,1.33274275656513,4.1839028031816,3.52516131755377,2.56244056139587,3.4896977587481,1,1,4.24118420727052,6.93853703032293,-1.98887316183095,0.530086368699287,-5.93853703032293,2.0092424016551
"TCGA-09-2044-01",-0.455025193613389,-0.4881666022837,2.94487397195145,7.44770015042766,6.26035968388828,6.08970831395416,7.5488917584383,4.35730521681599,4.83883030055173,2.8918377500411,1,8.84018122133393,10.8524203450534,-1.58713058148792,-0.0171787799310204,-7.90754637310196,-0.101191608010644
"TCGA-09-2045-01",0.0605257580265761,-0.382984961719647,1,5.61774681998564,4.23485285820857,4.9646688782759,6.19301322556329,4.98963207444948,2.57246656974732,3.07222160510536,1,7.5643357299585,9.9505695788436,-2.45293400646743,-0.120256158285019,-8.9505695788436,-0.575266405577646
"TCGA-09-2051-01",-0.488944478730324,0.0429517020127853,1,6.28275434134971,5.45437736422726,5.80798173779325,6.53282407269144,4.93190154960479,4.18985002283854,3.92367908076991,1,8.80485130746149,11.7908158860511,-2.6770363870364,-0.0487066543081773,-10.7908158860511,-0.250069731341731
"TCGA-09-2054-01",0.495951869395134,-0.360999871590992,1,7.45985453383662,3.55746373544777,4.70900186493403,5.81323401106561,3.64732742634333,3.45536322060574,1.60408328696503,1,6.62880267330247,7.72919057903917,-2.12584788504089,0.312293097383136,-6.72919057903917,1.64662052277101
"TCGA-10-0928-01",0.675188828537824,0.798879002138805,1,4.67079247067068,1.87980711167091,2.04072298493169,3.36989604792553,2.66587745915335,3.14150302352173,4.55022915243551,2.09184892574141,6.36930618134065,7.12336398947226,-2.02207728971365,0.375951399165661,-6.12336398947226,1.30089642274515
"TCGA-10-0936-01",-0.546277603065292,0.944598720748738,1,4.43430462493306,3.74806671716599,6.70546615614408,6.61922100366042,3.77526827644027,6.87650134537437,4.1478126736353,3.83015199011408,9.105203262338,10.7362997966472,-2.55290572425022,-0.487548063336,-9.73629979664717,-2.18491637872736
"TCGA-13-0730-01",0.744372029790174,-0.4881666022837,1,6.6177937059557,4.36849490278622,4.40761574152918,8.1386283870716,3.27752847429331,3.66395779274594,4.3506459895576,1,9.2542103794567,9.38217924502099,-2.37603739561556,-0.262604428578745,-8.38217924502099,-1.5208346811159
"TCGA-13-0799-01",-0.0614407951070586,-0.382545256844778,1,4.57980759735547,2.29199676531218,5.04960577889164,5.52521198865903,5.13792986166771,2.9767331061391,3.85996927814127,4.40824414695995,7.10805422147393,12.3456743809126,-2.7383003041826,-0.225809396209143,-11.3456743809126,-0.945404391303558
"TCGA-13-0800-01",-0.120486920662217,0.687083686981915,1,2.97917751516031,1.18454451833254,3.74850232496017,6.23488790674864,2.47907000452795,1.49103027714183,1.21217619072088,1.02716174775137,3.79879774051774,6.04289620024722,-1.81616882012721,-0.86250040406922,-5.04289620024722,-3.25571039158833
"TCGA-13-0801-01",-1.1190860786679,-0.4881666022837,1,7.50159740283218,4.97972156110111,5.70207208802369,7.50399374336578,4.41133832264608,5.90168613216017,3.7154702048589,2.6419501682172,10.2644895718973,12.6105683042518,-2.76665540218544,-0.000406594348561061,-11.6105683042518,-0.00239634053360152
"TCGA-13-0890-01",0.265508899699675,0.864285272066485,1,7.05017031358963,4.39722328704725,6.32698832767286,6.94345714427943,3.99842780314965,6.40119376445372,4.05099434746986,1.82998222133996,8.89925046415994,10.3083842551356,-2.49932090629961,0.0192522734751545,-9.30838425513561,0.106713169310205
"TCGA-13-0893-01",-0.869232954761898,-0.4881666022837,1,7.19662169914592,4.46275361092949,5.7009453117486,7.52531174219687,4.54599032616354,4.36065309608747,2.57929591143084,1.66070965946818,11.3157281930763,10.7855950361706,-2.55895269471948,-0.0567231752973729,-9.78559503617055,-0.328690043050946
"TCGA-13-0897-01",-0.997502145495656,0.920387897913817,1,6.94035380433644,3.80375081221806,6.30542450787288,6.94472447932835,4.35428810587074,5.1781677479903,3.17156977817125,1.01593738471257,9.18393580771447,10.1371424142367,-2.47730720605191,-0.000793896156214497,-9.13714241423666,-0.00437067499191009
"TCGA-13-0899-01",-0.209039029361371,0.0751249255591181,1,3.89841879136206,3.00716432481138,4.81844719617303,5.65596116308711,3.04252522397038,4.03053720086429,3.80797945213725,3.11197395371504,8.78899170053229,9.14543338761196,-2.34275858963239,-0.442330892816631,-8.14543338761196,-1.75754237172505
"TCGA-13-0913-01",0.0750327275294067,0.683076480506263,1,3.45619183336314,2.1984712589015,4.71497764663096,4.780649117347,3.12780121772933,3.33999816656392,2.92367908076992,1.93966882535904,6.73954057223736,7.74416921709863,-2.12832132030383,-0.375420163916954,-6.74416921709863,-1.32445728398387
