"","ARG1","CCL17","CCL22","CCL5","CD274","CD80","CD8A","CXCL10","FOXP3","MRC1","PDCD1"
"GLI1",0.106305638571094,-0.162756204577756,-0.0541432923224904,-0.31529760840598,-0.19296487504247,-0.303235726279511,-0.225329023209945,-0.415335642174595,-0.253080007471211,0.0856843139427088,-0.150555739755219
"GLI2",0.00669812441347763,-0.0842924200404866,-0.00276069764782918,-0.258757986199847,-0.18608384537606,-0.273572181198924,-0.198078645318281,-0.373217924643607,-0.183438482649807,0.00205380059778442,-0.0995128945335948
"HHIP",-0.02003386525585,0.163130228298615,0.19459748445363,0.0977933771139595,0.012794776124326,0.0891355870254788,0.122881504651211,-0.0992620892118914,0.162397150303014,0.199664830737128,0.107565836632721
"IHH",-0.011712784158802,-0.156574231516396,-0.16850024730347,-0.312730328744528,-0.181352121661065,-0.278510378565838,-0.267362877081974,-0.245130463135092,-0.21662546159752,-0.153359842580975,-0.178264194542431
"PTCH1",0.082906378982377,-0.203106923678336,-0.13860133319274,-0.391613684596495,-0.134299269991889,-0.291198601228749,-0.339754441716019,-0.383581150901677,-0.278373315259058,-0.159500438893765,-0.242972060019786
"PTCH2",0.148208047391768,-0.188741428120795,-0.163024051714359,-0.365839620440227,-0.0662549583884265,-0.258075562847985,-0.299610884565384,-0.27723152479472,-0.254586384293159,-0.0536241513794598,-0.15275526980914
"SHH",0.0318843749821957,-0.0823516641757678,-0.106327485005311,-0.222790252093403,-0.222208007242038,-0.231535590922536,-0.208989382950854,-0.236119117177692,-0.143730713543772,-0.0600542997086,-0.0220681322310957
