figure_id,output_file,generating_script,primary_inputs,status
FIG_HEATMAP,results/figures/hedgehog_immune_correlation_heatmap.png,scripts/07_make_hedgehog_immune_heatmap.R,data/tcga_expression/data_mrna_seq_v2_rsem.txt,generated
FIG_RATIO_BARPLOT,results/figures/corrected_ratio_activation_vs_ligand_correlations.png,scripts/08_make_ratio_method_figures.R,data/tcga_expression/data_mrna_seq_v2_rsem.txt,generated
FIG_SCATTERPLOTS,results/figures/hh_activation_selected_scatterplots.png,scripts/08_make_ratio_method_figures.R,data/tcga_expression/data_mrna_seq_v2_rsem.txt,generated
